classes	questions
0	mmm编码物料的数量
0	mmm编码物料的库存数量
0	库存中mmm编码物料的数量
0	三厂中mmm编 码物料的库存数量
0	近一个月mmm编码物料的采购数量
0	近一个月采购了多少数量的mmm编码物料
0	使用mmm编码物料的其他对象的数量
0	使用mmm编码物料的设备数量
0	有多少数量的设备使用了mmm编码物料
0	mmm编码物料被多少数量的设备使用
0	使用mmm编码物料的工单数量
0	有多少数量的工单使用了mmm编码物料
0	mmm编码物料被多少数量的工单使用
0	使用mmm编码物料的BOM数量
0	有多少数量的BOM使用了mmm编码物料
0	mmm编码物料被多少数量的BOM使用
1	mmm编码物料的信息
1	mmm编码物料的制造商名称
1	mmm编码物料的制造商类别
1	使用mmm编码物料的设备信息
1	使用mmm编码物料的工单信息
1	查看使用mmm编码物料的设备信息
1	查看使用mmm编码物料的工单信息
1	关联mmm编码物料的工单信息
1	关联mmm编码物料的设备信息
1	mmm编码物料被哪些工单使用
1	mmm编码物料被哪些领料单使用
1	哪些工单使用了mmm编码物料
1	哪些领料单使用了mmm编码物料
2	mmm物料的到货情况
2	mmm物料的到货时间
2	mmm物料的制造商
2	mmm物料的采购人
2	mmm物料的库存情况
2	mmm物料的库存位置
2	使用mmm物料的设备编号                       
2	使用mmm物料的设备制造商
2	mmm设备编码的设备使用的备件情况  
2	mmd位号的设备使用的备件情况；
2	mmd型号的设备情况
2	标题为mmw的工单情况
2	mmm物料的在BOM中的使用情况
3	mmd设备的历史采购记录
3	编码为mmd设备的历史采购记录
3	mmd编码的设备的历史采购记录
3	设备编码为mmd的历史的采购记录
3	mmd位置的历史使用备件情况
3	mmd设备位置号的历史使用备件情况
3	mmd设备编码的历史使用备件情况
3	设备编码为mmd的历史的采购记录
4	mmmx编码的物料与mmmy编码的物料是否重码
4	mmmx编码的物料与mmmy编码的物料有什么关系
4	与mmmx物料重码的物料是否为mmmy物料
4	mmmx物料与mmmy物料是否有重码关系
4	mmmx物料与mmmy物料的关系是否为重码
4	mmmx物料的重码物料为mmmy物料吗
4	mmmx物料和mmmy物料是否为重码物料
5	mmm编码的物料与mmd设备有什么关系。
5	mmd编码的设备使用的mmm编码的物料数量
5	mmd型号的设备使用的mmm编码的物料数量
5	mmd编码的设备的mmm编码的备件数量
5	mmd型号的设备的mmm编码的备件数量
